Time elapsed: 2.311594 sec
0,2
1,1
1,1
1,1
0,2
0,2
1,1
1,1
1,1
0,2
1,1
0,2
0,2
0,2
0,2
1,1
0,2
1,1
1,1
1,1
1,1
0,2
1,1
1,1
1,1
0,2
1,1
1,1
1,1
0,2
1,1
1,1
1,1
1,1
1,1
0,2
1,1
1,1
0,2
1,1
0,2
0,2
1,1
1,1
0,2
1,1
0,2
0,2
0,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,1
1,1
1,1
1,1
0,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,2
1,1
0,2
0,2
1,1
1,1
1,1
1,1
1,1
0,2
1,1
1,1
0,2
1,1
0,2
1,1
0,1
0,2
1,1
0,2
0,2
1,1
1,1
1,1
0,2
1,1
1,1
0,2
0,2
0,2
1,1
0,2
0,2
1,1
1,1
1,1
0,2
0,2
1,1
0,2
0,2
0,2
0,2
0,2
1,1
1,1
0,2
0,2
0,2
0,2
0,2
0,2
0,2
1,1
0,2
0,2
0,2
0,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,2
0,2
1,1
0,2
1,1
1,1
0,2
0,2
0,2
0,2
